"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-131 0.305780044253432 3 152 "GO:0040008" "regulation of growth" 0.861282998314988
-73 0.850882338744207 4 16 "GO:0040014" "regulation of multicellular organism growth" 0.983522775732596
-761 0.230900270532668 2 6 "GO:0040018" "positive regulation of multicellular organism growth" 0.813192437487322
-126 0.856537006187497 5 5 "GO:0040019" "positive regulation of embryonic development" 0.984970550509963
794 0.211174189614522 3 6 "GO:0040020;GO:0051445" "regulation of meiotic cell cycle" 0.810079788232913
175 0.414574837851664 3 53 "GO:0040029" "regulation of gene expression, epigenetic" 0.885121394380852
946 0.0855383809528928 2 8 "GO:0040034" "regulation of development, heterochronic" 0.698688465605048
-543 0.150413044528989 2 17 "GO:0042026" "protein refolding" 0.759362256104098
-30 0.960019993161468 3 7 "GO:0042035;GO:0042108" "regulation of cytokine biosynthetic process" 0.995848162381776
-328 0.447125709019179 2 13 "GO:0042048;GO:0007635" "chemosensory behavior" 0.889991966314376
-746 0.129498187607515 4 10 "GO:0042051" "compound eye photoreceptor development" 0.749224547190351
-474 0.101515667560094 6 29 "GO:0042058;GO:1901184" "regulation of ERBB signaling pathway" 0.723897746123166
-612 0.0955262670309917 2 18 "GO:0042059;GO:1901185" "negative regulation of ERBB signaling pathway" 0.703786791915337
-247 0.45647456340555 4 22 "GO:0042060" "wound healing" 0.889991966314376
-629 0.322097774111088 2 6 "GO:0042067" "establishment of ommatidial planar polarity" 0.864377948375686
883 0.000677758304904435 6 36 "GO:0042073;GO:0098840;GO:0099118" "protein transport along microtubule" 0.0993840132555321
531 0.334262107329626 4 8 "GO:0042098;GO:0046651;GO:0032943;GO:0070661" "lymphocyte proliferation" 0.870805286348269
-27 0.947901142766183 7 14 "GO:0042102;GO:0050671;GO:0032946;GO:0070665" "positive regulation of leukocyte proliferation" 0.995848162381776
-17 0.956473501485968 2 26 "GO:0042110" "T cell activation" 0.995848162381776
173 0.54427342756301 2 30 "GO:0042113" "B cell activation" 0.91957352364609
153 0.780783298295751 4 8 "GO:0042116;GO:0002281" "macrophage activation" 0.975778147430469
-18 0.845985003032707 2 288 "GO:0042127" "regulation of cell population proliferation" 0.982676277590505
-73 0.84149291325167 4 18 "GO:0042129" "regulation of T cell proliferation" 0.982676277590505
-800 0.00241046378094509 2 35 "GO:0042133" "neurotransmitter metabolic process" 0.204635688350759
-523 0.312843772151869 3 9 "GO:0042135" "neurotransmitter catabolic process" 0.861282998314988
-779 0.0611298800360906 4 14 "GO:0042136" "neurotransmitter biosynthetic process" 0.645432445484496
-26 0.923653912410488 2 33 "GO:0042147" "retrograde transport, endosome to Golgi" 0.99328594169326
-72 0.87199977479262 2 12 "GO:0042149" "cellular response to glucose starvation" 0.985500292252112
-889 0.105907958506484 4 8 "GO:0042157" "lipoprotein metabolic process" 0.732956937931537
-1243 0.0739654925637743 2 5 "GO:0042158" "lipoprotein biosynthetic process" 0.668880532079341
114 0.470847638392542 3 98 "GO:0042176" "regulation of protein catabolic process" 0.891405212121092
403 0.143374169514906 2 32 "GO:0042177" "negative regulation of protein catabolic process" 0.754527032390027
-345 0.619484793362661 2 5 "GO:0042178" "xenobiotic catabolic process" 0.943113706176472
-262 0.299872783445653 2 38 "GO:0042180" "cellular ketone metabolic process" 0.859762413724234
-1373 0.0194994868178272 3 7 "GO:0042182" "ketone catabolic process" 0.437729137897907
-66 0.892675815080365 3 10 "GO:0042219" "cellular modified amino acid catabolic process" 0.987914984373673
-656 0.301360282845886 2 6 "GO:0042220" "response to cocaine" 0.859762413724234
-275 0.377305100211084 2 25 "GO:0042246" "tissue regeneration" 0.87237376016788
17 0.9618903062001 3 20 "GO:0042254" "ribosome biogenesis" 0.995848162381776
-213 0.66526350469334 3 10 "GO:0042255" "ribosome assembly" 0.960716752709661
-974 0.161191004747229 2 5 "GO:0042256" "mature ribosome assembly" 0.772769614232157
610 0.116736547229115 4 16 "GO:0042273" "ribosomal large subunit biogenesis" 0.744428971333217
31 0.964180509368172 4 5 "GO:0042274" "ribosomal small subunit biogenesis" 0.995848162381776
-217 0.755218142143863 7 5 "GO:0042276" "error-prone translesion synthesis" 0.972191552623681
-47 0.94652249503263 6 5 "GO:0042297;GO:0031223;GO:0098596;GO:0098598;GO:0098597" "observational learning" 0.995061668578085
-445 0.366260615617856 3 10 "GO:0042304" "regulation of fatty acid biosynthetic process" 0.87237376016788
49 0.88083727811641 4 23 "GO:0042306;GO:1904589" "regulation of protein import" 0.986460169057478
83 0.846852568714481 2 13 "GO:0042307;GO:1904591" "positive regulation of protein import" 0.982676277590505
-903 0.124365315111511 3 7 "GO:0042335" "cuticle development" 0.749224547190351
779 0.0711518448151433 2 13 "GO:0042364;GO:0009110" "vitamin biosynthetic process" 0.664318285775306
180 0.372586113315575 2 60 "GO:0042391" "regulation of membrane potential" 0.87237376016788
-458 0.224947292960635 2 17 "GO:0042398" "cellular modified amino acid biosynthetic process" 0.811934167082376
130 0.83747270564454 5 6 "GO:0042401;GO:0009309" "amine biosynthetic process" 0.982676277590505
58 0.896660898786633 3 12 "GO:0042402;GO:0009310" "amine catabolic process" 0.988849814733615
239 0.663372999849652 3 8 "GO:0042403" "thyroid hormone metabolic process" 0.960716752709661
-398 0.566929719036398 5 5 "GO:0042407" "cristae formation" 0.928930266331718
389 0.129384544525818 2 37 "GO:0042440" "pigment metabolic process" 0.749224547190351
-27 0.907924131999337 2 44 "GO:0042445" "hormone metabolic process" 0.991924997586119
126 0.808435805432954 2 9 "GO:0042446" "hormone biosynthetic process" 0.980760335505261
-184 0.790908630151877 2 5 "GO:0042447" "hormone catabolic process" 0.976079281128521
75 0.820738534138415 3 22 "GO:0042462;GO:0042461" "photoreceptor cell development" 0.981650410985964
298 0.565118510112514 2 9 "GO:0042472" "inner ear morphogenesis" 0.928587044180234
-1105 0.00341279671034134 2 17 "GO:0042475;GO:0042476" "odontogenesis" 0.234394006546722
-193 0.086515389142548 3 198 "GO:0042493" "response to drug" 0.698688465605048
-127 0.752951731350686 6 15 "GO:0042531;GO:0060336;GO:0060331;GO:0060334;GO:0060330;GO:1902216;GO:1902214" "negative regulation of interferon-gamma-mediated signaling pathway" 0.972191552623681
-396 0.377667289298329 3 12 "GO:0042537" "benzene-containing compound metabolic process" 0.87237376016788
-443 0.146708271871368 2 26 "GO:0042542" "response to hydrogen peroxide" 0.756669589431464
218 0.563066312724254 4 17 "GO:0042552" "myelination" 0.926761186147165
-830 0.0279726498596747 3 17 "GO:0042558" "pteridine-containing compound metabolic process" 0.487782532147625
-1754 0.0014288208829133 2 8 "GO:0042559" "pteridine-containing compound biosynthetic process" 0.139678065705403
-387 0.577897652831255 5 5 "GO:0042572" "retinol metabolic process" 0.933946155982855
-50 0.544561206201747 3 380 "GO:0042592" "homeostatic process" 0.91957352364609
67 0.77904532632474 6 43 "GO:0042593;GO:0033500" "carbohydrate homeostasis" 0.975778147430469
-608 0.0556785947743575 7 24 "GO:0042632;GO:0055092" "cholesterol homeostasis" 0.626700781048411
446 0.189346122821288 2 21 "GO:0042692" "muscle cell differentiation" 0.800815080667849
291 0.597006595392152 5 8 "GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 0.938976852546987
-1183 0.0624671296321775 4 6 "GO:0042730" "fibrinolysis" 0.645432445484496
-956 0.0518762570551657 2 10 "GO:0042733" "embryonic digit morphogenesis" 0.626700781048411
-475 0.00467503105503978 4 87 "GO:0042737" "drug catabolic process" 0.235650784118099
-265 0.192664562588814 2 59 "GO:0042742" "defense response to bacterium" 0.801981779240663
-732 0.0525774087240563 2 17 "GO:0042744;GO:0042743" "hydrogen peroxide metabolic process" 0.626700781048411
-146 0.620160671462803 3 28 "GO:0042752" "regulation of circadian rhythm" 0.943252393276286
-231 0.739516920087618 2 5 "GO:0042755" "eating behavior" 0.972191552623681
84 0.852125597875463 3 12 "GO:0042769" "DNA damage response, detection of DNA damage" 0.983522775732596
-130 0.67611648816744 3 25 "GO:0042770" "signal transduction in response to DNA damage" 0.962198135287626
-165 0.763887193247731 5 8 "GO:0042771" "intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator" 0.973262277021003
-1007 0.147778019020543 6 5 "GO:0042776" "mitochondrial ATP synthesis coupled proton transport" 0.75769980543992
336 0.596317171493425 3 6 "GO:0042789;GO:0009299" "mRNA transcription" 0.938976852546987
1 0.998442217083153 3 12 "GO:0042795;GO:0009301;GO:0098781" "ncRNA transcription" 0.999777459444812
-1180 0.0631729984257378 4 6 "GO:0042851;GO:0006522;GO:0009078;GO:0042853;GO:0006524;GO:0009080" "pyruvate family amino acid metabolic process" 0.645716496873297
43 0.619345108268329 4 351 "GO:0042981;GO:0043067;GO:0010941" "regulation of cell death" 0.943113706176472
478 0.491805272347422 4 5 "GO:0042994" "cytoplasmic sequestering of transcription factor" 0.894284694237947
-419 0.509383774981227 3 6 "GO:0042997;GO:0042996" "regulation of Golgi to plasma membrane protein transport" 0.903058701664667
236 0.544981026087135 3 16 "GO:0043001" "Golgi to plasma membrane protein transport" 0.91957352364609
589 0.118505221579782 6 17 "GO:0043010" "camera-type eye development" 0.744428971333217
-22 0.972220870903766 2 6 "GO:0043029" "T cell homeostasis" 0.996310206332766
739 0.20871531595162 2 7 "GO:0043032;GO:0043030" "regulation of macrophage activation" 0.808897739144783
650 0.0502965477001365 2 22 "GO:0043044" "ATP-dependent chromatin remodeling" 0.624917351910192
-302 0.0704862033818285 2 88 "GO:0043062;GO:0030198" "extracellular structure organization" 0.664083594906365
-24 0.859909288186162 7 139 "GO:0043065;GO:0043068;GO:0010942" "positive regulation of cell death" 0.985101548950536
10 0.929318129211259 2 210 "GO:0043066;GO:0043069;GO:0060548" "negative regulation of cell death" 0.994151563136106
85 0.412039309320959 2 234 "GO:0043085" "positive regulation of catalytic activity" 0.88356322493948
-128 0.305654988554498 2 160 "GO:0043086" "negative regulation of catalytic activity" 0.861282998314988
-170 0.364442919705415 5 70 "GO:0043087" "regulation of GTPase activity" 0.87237376016788
30 0.918000682421469 3 28 "GO:0043094" "cellular metabolic compound salvage" 0.99328594169326
1456 0.0218217251911763 2 6 "GO:0043097;GO:0008655;GO:0046134" "pyrimidine-containing compound salvage" 0.44633204954033
-1080 0.0213158724334461 3 11 "GO:0043101" "purine-containing compound salvage" 0.44633204954033
-479 0.158455137536497 2 21 "GO:0043112" "receptor metabolic process" 0.772169597723171
-477 0.151179477099395 3 22 "GO:0043113" "receptor clustering" 0.761270635338232
37 0.860123238017067 5 54 "GO:0043122" "regulation of I-kappaB kinase/NF-kappaB signaling" 0.985101548950536
111 0.661546782993875 2 38 "GO:0043123" "positive regulation of I-kappaB kinase/NF-kappaB signaling" 0.960716752709661
150 0.718759911928353 4 14 "GO:0043124" "negative regulation of I-kappaB kinase/NF-kappaB signaling" 0.972191552623681
143 0.750867104164598 2 12 "GO:0043144;GO:0016074" "snoRNA metabolic process" 0.972191552623681
-95 0.891236625371985 4 5 "GO:0043149;GO:0030038" "contractile actin filament bundle assembly" 0.987914984373673
518 0.346599121593644 3 8 "GO:0043153;GO:0009648;GO:0009649" "entrainment of circadian clock" 0.871018469660137
160 0.644988285248496 3 20 "GO:0043154;GO:2000117" "negative regulation of cysteine-type endopeptidase activity" 0.954615188737427
-51 0.678826848206843 2 163 "GO:0043161;GO:0010498;GO:0030163" "protein catabolic process" 0.963610436687005
569 0.24750321894452 2 10 "GO:0043162" "ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway" 0.83035476669948
118 0.762556437134734 4 16 "GO:0043171" "peptide catabolic process" 0.97289799321919
-35 0.938713376000875 6 12 "GO:0043173" "nucleotide salvage" 0.994358887847017
-340 0.489252184327087 5 10 "GO:0043174" "nucleoside salvage" 0.893770874679203
270 0.343381262680957 4 30 "GO:0043200" "response to amino acid" 0.871018469660137
361 0.569805592271689 3 6 "GO:0043217" "myelin maintenance" 0.931454341867509
-26 0.960283171118177 2 9 "GO:0043243" "positive regulation of protein complex disassembly" 0.995848162381776
-618 0.15235059347414 2 13 "GO:0043248" "proteasome assembly" 0.765549866896535
102 0.433787817292616 2 147 "GO:0043254" "regulation of protein complex assembly" 0.887943844280444
-1 0.998653073080655 2 21 "GO:0043255" "regulation of carbohydrate biosynthetic process" 0.999777459444812
125 0.720476949059496 2 20 "GO:0043266;GO:1901379" "regulation of potassium ion transport" 0.972191552623681
398 0.375559696780811 3 12 "GO:0043268;GO:1901381" "positive regulation of potassium ion transport" 0.87237376016788
157 0.314803700666 5 101 "GO:0043269" "regulation of ion transport" 0.861282998314988
379 0.0926127411152977 2 48 "GO:0043270" "positive regulation of ion transport" 0.703125909579173
89 0.749686107178299 2 31 "GO:0043271" "negative regulation of ion transport" 0.972191552623681
-765 0.076396175060227 2 13 "GO:0043277" "apoptotic cell clearance" 0.678936806458106
1001 0.114729886757148 5 6 "GO:0043278;GO:0014072" "response to isoquinoline alkaloid" 0.744428971333217
268 0.370714122965379 2 27 "GO:0043279;GO:0060359" "response to alkaloid" 0.87237376016788
230 0.460497838041954 3 25 "GO:0043280;GO:2001056;GO:0010950;GO:0010952" "positive regulation of peptidase activity" 0.889991966314376
137 0.573062031454824 4 41 "GO:0043281;GO:2000116" "regulation of cysteine-type endopeptidase activity" 0.931803484613539
911 0.190256243572434 3 5 "GO:0043302" "positive regulation of leukocyte degranulation" 0.800815080667849
1024 0.0290993927693663 3 11 "GO:0043304;GO:0033006;GO:0043300;GO:0033003" "regulation of leukocyte degranulation" 0.499333197201998
-323 0.0938264161133128 7 66 "GO:0043312;GO:0002283;GO:0043299;GO:0042119;GO:0036230" "granulocyte activation" 0.703786791915337
-582 0.359093602082884 3 6 "GO:0043388" "positive regulation of DNA binding" 0.87237376016788
517 0.41590599914428 3 6 "GO:0043392" "negative regulation of DNA binding" 0.88593973060662
-83 0.695009853332939 4 55 "GO:0043393" "regulation of protein binding" 0.96767448720417
306 0.446604120534656 2 15 "GO:0043401;GO:0030518" "steroid hormone mediated signaling pathway" 0.889991966314376
-1478 0.0199461200468048 2 6 "GO:0043403" "skeletal muscle tissue regeneration" 0.437729137897907
-101 0.621560608366156 6 58 "GO:0043405" "regulation of MAP kinase activity" 0.944491061040612
-264 0.251288353291823 2 46 "GO:0043406;GO:0071902" "positive regulation of protein serine/threonine kinase activity" 0.832114898678971
390 0.331946375648373 4 15 "GO:0043407" "negative regulation of MAP kinase activity" 0.870805286348269
40 0.769522142448006 3 132 "GO:0043408" "regulation of MAPK cascade" 0.975778147430469
161 0.483501020352301 3 46 "GO:0043409" "negative regulation of MAPK cascade" 0.893770874679203
-17 0.924241569435152 3 75 "GO:0043410" "positive regulation of MAPK cascade" 0.99328594169326
339 0.0485197199474627 2 83 "GO:0043414;GO:0032259" "methylation" 0.621129430756011
122 0.639643803008192 2 36 "GO:0043433" "negative regulation of DNA-binding transcription factor activity" 0.954105476614396
-208 0.190152225938116 2 98 "GO:0043434;GO:1901652" "response to peptide" 0.800815080667849
-134 0.847733440959199 2 5 "GO:0043457" "regulation of cellular respiration" 0.982676277590505
-4 0.98900632054635 2 27 "GO:0043462" "regulation of ATPase activity" 0.998604977696594
-312 0.257035408783518 5 32 "GO:0043467" "regulation of generation of precursor metabolites and energy" 0.837672144855893
281 0.483905323393521 1 15 "GO:0043473" "pigmentation" 0.893770874679203
40 0.832305888792055 2 70 "GO:0043484" "regulation of RNA splicing" 0.982676277590505
843 0.0722345642502063 3 11 "GO:0043486" "histone exchange" 0.668880532079341
639 0.358153044119282 2 5 "GO:0043491" "protein kinase B signaling" 0.87237376016788
-1487 0.011397405237004 2 7 "GO:0043496" "regulation of protein homodimerization activity" 0.343626442005373
-466 0.160758251387063 3 22 "GO:0043506" "regulation of JUN kinase activity" 0.772769614232157
-378 0.331400976204223 4 16 "GO:0043507" "positive regulation of JUN kinase activity" 0.870805286348269
196 0.689852572281094 3 10 "GO:0043516" "regulation of DNA damage response, signal transduction by p53 class mediator" 0.967133082814301
80 0.892183669185253 5 7 "GO:0043518" "negative regulation of DNA damage response, signal transduction by p53 class mediator" 0.987914984373673
-89 0.68620126604087 2 50 "GO:0043523" "regulation of neuron apoptotic process" 0.96667479661478
-312 0.307759797177289 3 26 "GO:0043524" "negative regulation of neuron apoptotic process" 0.861282998314988
132 0.734234252853783 2 16 "GO:0043525" "positive regulation of neuron apoptotic process" 0.972191552623681
-238 0.628979847947014 2 10 "GO:0043535" "regulation of blood vessel endothelial cell migration" 0.94915451661061
54 0.932035987134374 2 6 "GO:0043542" "endothelial cell migration" 0.994151563136106
13 0.954299640309571 3 45 "GO:0043547" "positive regulation of GTPase activity" 0.995848162381776
123 0.81284587368826 3 9 "GO:0043550" "regulation of lipid kinase activity" 0.980760335505261
-244 0.701095870429438 2 6 "GO:0043551" "regulation of phosphatidylinositol 3-kinase activity" 0.969869330190981
720 0.22067270122718 2 7 "GO:0043555" "regulation of translation in response to stress" 0.810938526090533
616 0.375733528842281 4 5 "GO:0043588" "skin development" 0.87237376016788
-64 0.466986414800924 2 336 "GO:0043603" "cellular amide metabolic process" 0.889991966314376
319 0.443195534211684 5 14 "GO:0043618;GO:0043620" "regulation of DNA-templated transcription in response to stress" 0.889991966314376
-345 0.233726403498849 2 29 "GO:0043624" "cellular protein complex disassembly" 0.818904390395299
594 0.0962089197875584 2 19 "GO:0043627" "response to estrogen" 0.703786791915337
437 0.198615545038682 4 21 "GO:0043628" "ncRNA 3'-end processing" 0.804445396885055
-612 0.173218938985189 3 12 "GO:0043647" "inositol phosphate metabolic process" 0.788026852430008
-818 7.73739332940536e-05 2 57 "GO:0043648" "dicarboxylic acid metabolic process" 0.0277342565340685
-1016 0.0500521866461038 2 9 "GO:0043649" "dicarboxylic acid catabolic process" 0.624917351910192
-998 0.0696419474800974 2 8 "GO:0043650" "dicarboxylic acid biosynthetic process" 0.6618649270665
-338 0.385109708401327 6 16 "GO:0043652" "engulfment of apoptotic cell" 0.87237376016788
-664 0.295498319676402 2 6 "GO:0043653" "mitochondrial fragmentation involved in apoptotic process" 0.857362805273983
231 0.592828576158465 4 13 "GO:0043654;GO:0006910" "phagocytosis, recognition" 0.936984714918575
-50 0.907265023966468 2 13 "GO:0043666" "regulation of phosphoprotein phosphatase activity" 0.991924997586119
-165 0.507982945013582 2 39 "GO:0043687" "post-translational protein modification" 0.901404279765575
-136 0.236723109297884 2 190 "GO:0043900" "regulation of multi-organism process" 0.821149194188144
11 0.958774695044407 4 53 "GO:0043901" "negative regulation of multi-organism process" 0.995848162381776
-128 0.391473549101623 4 111 "GO:0043902" "positive regulation of multi-organism process" 0.87237376016788
-2353 0.000210921950251906 2 6 "GO:0043931" "ossification involved in bone maturation" 0.0481055026895823
169 0.718968216291202 2 11 "GO:0043949" "regulation of cAMP-mediated signaling" 0.972191552623681
961 0.0805845786835625 4 8 "GO:0043951" "negative regulation of cAMP-mediated signaling" 0.692930149315869
237 0.507872632854207 2 19 "GO:0043954" "cellular component maintenance" 0.901404279765575
451 0.359173584839898 6 10 "GO:0043966" "histone H3 acetylation" 0.87237376016788
437 0.233884787052582 5 18 "GO:0043967" "histone H4 acetylation" 0.818904390395299
473 0.421254924481005 6 7 "GO:0043968" "histone H2A acetylation" 0.886542122211041
507 0.388732593422903 7 7 "GO:0043981;GO:0043982;GO:0043984" "histone H4-K16 acetylation" 0.87237376016788
435 0.49282900461031 2 6 "GO:0044030" "regulation of DNA methylation" 0.894691259917197
-1916 0.00111773296554267 2 7 "GO:0044036" "cell wall macromolecule metabolic process" 0.125171979885107
84 0.579654916217706 2 107 "GO:0044057" "regulation of system process" 0.934153937654182
129 0.81488025436883 5 8 "GO:0044058" "regulation of digestive system process" 0.98163624889739
146 0.645912684236086 6 24 "GO:0044070" "regulation of anion transport" 0.955182208598251
-10 0.908640369333003 3 310 "GO:0044087" "regulation of cellular component biogenesis" 0.991970839752375
-23 0.851897014848541 2 158 "GO:0044089" "positive regulation of cellular component biogenesis" 0.983522775732596
-22 0.838288570491336 3 224 "GO:0044092" "negative regulation of molecular function" 0.982676277590505
13 0.887685238492219 2 328 "GO:0044093" "positive regulation of molecular function" 0.987914984373673
-290 0.0956875986976415 3 81 "GO:0044242" "cellular lipid catabolic process" 0.703786791915337
-92 0.358746041630814 2 251 "GO:0044255" "cellular lipid metabolic process" 0.87237376016788
346 0.482496924725464 3 10 "GO:0044257" "cellular protein catabolic process" 0.893770874679203
-542 0.00372713071311065 2 70 "GO:0044262" "cellular carbohydrate metabolic process" 0.234394006546722
-722 0.00987977977847656 2 31 "GO:0044264" "cellular polysaccharide metabolic process" 0.314779222455657
-26 0.7456988325937 2 397 "GO:0044265;GO:0009057" "macromolecule catabolic process" 0.972191552623681
-89 0.673862042132294 3 54 "GO:0044272" "sulfur compound biosynthetic process" 0.962025435846265
-427 0.219941946268517 4 20 "GO:0044273" "sulfur compound catabolic process" 0.810938526090533
-565 0.0551960189110691 2 28 "GO:0044275" "cellular carbohydrate catabolic process" 0.626700781048411
-439 2.06510042908948e-05 2 238 "GO:0044282" "small molecule catabolic process" 0.0133240279684853
-164 0.111828462348459 2 237 "GO:0044283" "small molecule biosynthetic process" 0.742301686288331
555 0.381836480252305 4 6 "GO:0044331" "cell-cell adhesion mediated by cadherin" 0.87237376016788
529 0.336431867531188 2 8 "GO:0044344;GO:0071774" "response to fibroblast growth factor" 0.871018469660137
-1949 0.00508079062918753 5 5 "GO:0044347;GO:0010383;GO:0016998" "cell wall polysaccharide metabolic process" 0.242637317754069
598 0.136928926613384 2 15 "GO:0044458" "motile cilium assembly" 0.754527032390027
1215 0.0387848764471575 7 7 "GO:0044539;GO:0140354" "long-chain fatty acid import into cell" 0.568727324629682
-435 0.353787606468407 3 11 "GO:0044550" "secondary metabolite biosynthetic process" 0.872319563264252
240 0.4406794383995 2 25 "GO:0044703;GO:0044706" "multi-organism reproductive process" 0.889991966314376
575 0.295701268149326 2 8 "GO:0044743;GO:0030150" "protein transmembrane import into intracellular organelle" 0.857362805273983
-545 0.0864813594884434 2 24 "GO:0044764" "multi-organism cellular process" 0.698688465605048
-559 0.255927278076741 3 10 "GO:0044766;GO:1902579" "multi-organism transport" 0.836495845061364
419 0.0447802810106465 3 56 "GO:0044772;GO:0044770" "cell cycle phase transition" 0.604440111047471
-96 0.852703435598875 2 9 "GO:0044773;GO:0044774" "mitotic DNA integrity checkpoint" 0.983522775732596
-1109 0.0807630924187126 3 6 "GO:0044788" "modulation by host of viral process" 0.692930149315869
-126 0.842403795507735 2 6 "GO:0045005" "DNA-dependent DNA replication maintenance of fidelity" 0.982676277590505
-1678 0.000347275908204913 2 11 "GO:0045010" "actin nucleation" 0.0589637936773184
-241 0.430907787067455 3 26 "GO:0045017;GO:0046474" "glycerolipid biosynthetic process" 0.886542122211041
257 0.686155107969284 2 6 "GO:0045022;GO:0098927" "vesicle-mediated transport between endosomal compartments" 0.96667479661478
-227 0.153656262458317 2 97 "GO:0045055" "regulated exocytosis" 0.766513801548312
-30 0.95152647246026 2 10 "GO:0045056" "transcytosis" 0.995848162381776
255 0.370174949526833 3 30 "GO:0045069" "regulation of viral genome replication" 0.87237376016788
45 0.898096583363902 3 20 "GO:0045070" "positive regulation of viral genome replication" 0.988849814733615
502 0.284532422951414 3 11 "GO:0045071" "negative regulation of viral genome replication" 0.851066170929266
-127 0.362540517640721 2 128 "GO:0045087" "innate immune response" 0.87237376016788
-117 0.419622730274947 2 117 "GO:0045088;GO:0002831" "regulation of response to biotic stimulus" 0.886542122211041
-48 0.788703940246258 3 75 "GO:0045089;GO:0002833;GO:0031349" "positive regulation of defense response" 0.975778147430469
-318 0.497942474749219 2 11 "GO:0045104;GO:0045103" "intermediate filament cytoskeleton organization" 0.894741847740145
872 0.169564790959195 2 6 "GO:0045116" "protein neddylation" 0.779867752779018
180 0.64309405687258 3 16 "GO:0045124;GO:0046850;GO:0034103" "regulation of tissue remodeling" 0.954615188737427
-253 0.689830679534351 2 6 "GO:0045132" "meiotic chromosome segregation" 0.967133082814301
244 0.39129431578996 2 30 "GO:0045165" "cell fate commitment" 0.87237376016788
460 0.349649385681921 2 10 "GO:0045176" "apical protein localization" 0.871018469660137
-62 0.750583125785531 2 65 "GO:0045185;GO:0051235" "maintenance of location" 0.972191552623681
-372 0.241692956895045 5 24 "GO:0045197;GO:0035088;GO:0061245" "establishment or maintenance of bipolar cell polarity" 0.825080930098852
160 0.757577729090254 2 9 "GO:0045199;GO:0035090" "maintenance of apical/basal cell polarity" 0.972191552623681
241 0.728676378219417 3 5 "GO:0045200;GO:0045196" "establishment or maintenance of neuroblast polarity" 0.972191552623681
-202 0.431823288167697 6 37 "GO:0045214" "sarcomere organization" 0.886542122211041
760 0.0333762543287696 2 19 "GO:0045292" "mRNA cis splicing, via spliceosome" 0.535843335475894
578 0.217603341879093 2 11 "GO:0045324" "late endosome to vacuole transport" 0.810938526090533
59 0.892132738465558 4 13 "GO:0045332;GO:0034204;GO:0097035" "regulation of membrane lipid distribution" 0.987914984373673
358 0.357957722836639 2 16 "GO:0045428" "regulation of nitric oxide biosynthetic process" 0.87237376016788
-200 0.684458564561883 5 10 "GO:0045429;GO:1904407" "positive regulation of nitric oxide biosynthetic process" 0.965484621458957
-175 0.642282430282187 2 17 "GO:0045444" "fat cell differentiation" 0.954615188737427
-770 0.268100782931279 2 5 "GO:0045445" "myoblast differentiation" 0.847071768270434
1325 0.0242524992702268 2 7 "GO:0045453" "bone resorption" 0.465705730034236
-71 0.762336896313088 3 44 "GO:0045454" "cell redox homeostasis" 0.97289799321919
408 0.121240932085938 4 35 "GO:0045471" "response to ethanol" 0.747360968599165
-598 0.389857292434214 3 5 "GO:0045475" "locomotor rhythm" 0.87237376016788
473 0.273424315488551 2 13 "GO:0045494" "photoreceptor cell maintenance" 0.848798442853628
-551 0.385135569295171 7 6 "GO:0045540;GO:0106118" "regulation of sterol biosynthetic process" 0.87237376016788
43 0.945835207801575 3 6 "GO:0045570" "regulation of imaginal disc growth" 0.995061668578085
1138 0.0730479537457244 5 6 "GO:0045577" "regulation of B cell differentiation" 0.668880532079341
4 0.990797626648722 5 19 "GO:0045580" "regulation of T cell differentiation" 0.998953064213476
-185 0.645052757523612 2 15 "GO:0045582;GO:0045621" "positive regulation of lymphocyte differentiation" 0.954615188737427
21 0.793769351266703 4 423 "GO:0045595" "regulation of cell differentiation" 0.976544614662156
4 0.9773582395752 5 138 "GO:0045596" "negative regulation of cell differentiation" 0.996485634016242
-12 0.903169870910403 2 282 "GO:0045597;GO:0051094" "positive regulation of developmental process" 0.990355541657702
-411 0.170198549983882 2 27 "GO:0045598" "regulation of fat cell differentiation" 0.781024924961598
-552 0.239661381438272 2 11 "GO:0045599" "negative regulation of fat cell differentiation" 0.822497464382836
-458 0.352173361565198 2 10 "GO:0045600" "positive regulation of fat cell differentiation" 0.872319563264252
-871 0.138417292419824 6 7 "GO:0045601;GO:0030857" "negative regulation of epithelial cell differentiation" 0.754527032390027
-318 0.428245452356617 3 15 "GO:0045604;GO:0045682;GO:0045616" "regulation of keratinocyte differentiation" 0.886542122211041
-1118 0.107948679694737 2 5 "GO:0045610;GO:0045611" "regulation of hemocyte differentiation" 0.736753032690584
282 0.631146212602195 4 7 "GO:0045618;GO:0045606;GO:0045684" "positive regulation of epidermal cell differentiation" 0.950330360462213
210 0.492071269179502 2 26 "GO:0045619" "regulation of lymphocyte differentiation" 0.894284694237947
963 0.101536541301208 7 7 "GO:0045620" "negative regulation of lymphocyte differentiation" 0.723897746123166
226 0.721656358890648 2 6 "GO:0045622;GO:0043370;GO:2000514" "regulation of CD4-positive, alpha-beta T cell differentiation" 0.972191552623681
162 0.46309796211256 2 50 "GO:0045637" "regulation of myeloid cell differentiation" 0.889991966314376
